original_filename,renamed_filename,status,flag_note,visual_read
WhatsApp Image 2026-06-16 at 5.13.23 PM.jpeg,ALKEMVIT SYRUP (200ML).jpeg,MATCHED,,"Syrup multivit+lycopene, Mango, 200ml"
WhatsApp Image 2026-06-16 at 5.13.36 PM (1).jpeg,ALKOF COLD & FLU TAB 10'S.jpeg,MATCHED,,"Cold & Flu, Para325+Phenyl5+Levocet5+Dextro5+Caff30 tab, 10's, MRP92.75"
WhatsApp Image 2026-06-16 at 5.13.10 PM.jpeg,ALKOF-DX COUGH SYRUP (60ML).jpeg,MATCHED,,"DX syrup, Dextromethorphan+Chlorpheniramine, 60ml, MRP72.15"
WhatsApp Image 2026-06-16 at 5.13.50 PM (1).jpeg,ALMOX DROPS (10ML).jpeg,MATCHED,,"Oral Suspension/drops, Amox 100mg/ml, 10ml, MRP49.50"
WhatsApp Image 2026-06-16 at 5.13.40 PM (1).jpeg,B-THER INJECTION (2ML).jpeg,MATCHED,,"BETA-THER, a-b Arteether 150mg/2ml inj, 2ml, MRP200"
WhatsApp Image 2026-06-16 at 5.13.19 PM (1).jpeg,CACHLACTIN 200 ML (MIXED FRUIT).jpeg,MATCHED,,"Cyproheptadine+Tricholine 275, 200ml, MIXFRUIT/caramel, MRP134.05"
WhatsApp Image 2026-06-16 at 5.13.19 PM.jpeg,CACHLACTIN 200 ML (ORANGE).jpeg,MATCHED,,"Cyproheptadine+Tricholine, 200ml, ORANGE, MRP130"
WhatsApp Image 2026-06-16 at 5.13.43 PM (1).jpeg,CEPHAL CAPS 250 (10'S).jpeg,MATCHED,,"CAPS 250, Cephalexin 250mg, 10's, MRP86.25"
WhatsApp Image 2026-06-16 at 5.13.43 PM (2).jpeg,CEPHAL CAPS 500  (10'S).jpeg,MATCHED,,"CAPS 500, Cephalexin 500mg, 10's, MRP186.55"
WhatsApp Image 2026-06-16 at 5.13.25 PM (1).jpeg,CIPROKEM 250 MG TABLETS (10S).jpeg,MATCHED,,"250, Ciprofloxacin 250mg, 10's, MRP24.95"
WhatsApp Image 2026-06-16 at 5.13.22 PM (2).jpeg,CLEAR SKIN NEEM & ALOEVERA FACEWASH (60GM).jpeg,MATCHED,,"Neem & Aloe Vera Face Wash oily skin, 60g"
WhatsApp Image 2026-06-16 at 5.13.23 PM (2).jpeg,CLEAR SKIN PAPAYA FACEWASH (60GM).jpeg,MATCHED,,"Papaya Face Wash all skin, 60g"
WhatsApp Image 2026-06-16 at 5.13.51 PM (2).jpeg,DEFLAGARD 6 TABLETS (10'S).jpeg,MATCHED,,"6, Deflazacort 6mg, Alu-Alu 10's, MRP205"
WhatsApp Image 2026-06-16 at 5.13.11 PM (1).jpeg,DERMIKEM POWDER (100 GM).jpeg,MATCHED*,FLAG: regular vs lavender not labelled in master; assigned by bottle shape,"Clotrimazole 1% dusting powder, 100g, MRP130, REGULAR"
WhatsApp Image 2026-06-16 at 5.13.11 PM.jpeg,DERMIKEM POWDER (ROUND BOTTLE) (100GM).jpeg,MATCHED*,"FLAG: Lavender variant; master has no fragrance label, mapped to round-bottle SKU","Clotrimazole 1% dusting powder, 100g, MRP130, LAVENDER"
WhatsApp Image 2026-06-16 at 5.13.34 PM.jpeg,DIGESTA NOVO (PINEAPPLE FLAVOUR) (200ML).jpeg,MATCHED,,"NOVO, FungalDiastase+Pepsin, 200ml, pineapple, MRP112.50"
WhatsApp Image 2026-06-16 at 5.13.35 PM.jpeg,ENTISEP (1000ML).jpeg,MATCHED,,"Chlorhexidine0.3+Cetrimide0.6, 1000ml, MRP319.65"
WhatsApp Image 2026-06-16 at 5.13.51 PM (1).jpeg,FERIPRO RED SYRUP (225ML).jpeg,MATCHED,,"RED iron tonic, 225ml, MRP150"
WhatsApp Image 2026-06-16 at 5.13.38 PM (1).jpeg,FLOCHEK MF TAB (10'S).jpeg,MATCHED,,"MF, Tranexamic500+Mefenamic250, 10's"
WhatsApp Image 2026-06-16 at 5.13.16 PM (1).jpeg,HISTAKEM -120 TABLETS (10S).jpeg,MATCHED,,"120, Fexofenadine 120mg, 10's, MRP170.10"
WhatsApp Image 2026-06-16 at 5.13.17 PM (1).jpeg,HISTAKEM-180 TABLETS (10'S).jpeg,MATCHED,,"180, Fexofenadine 180mg, 10's, MRP241.85"
WhatsApp Image 2026-06-16 at 5.13.26 PM (1).jpeg,KOFCLEAR COFGELS (10'S).jpeg,MATCHED,,"COFGELS, Dextro10+Chlor2+Phenyl5 softgel, 10's, MRP59.05"
WhatsApp Image 2026-06-16 at 5.13.48 PM.jpeg,KOFCLEAR LS JUNIOR COUGH SYRUP (60ML).jpeg,MATCHED,,"LS JUNIOR, Levosalb0.5+Ambroxol15+Guaiph50, 60ml, MRP79.20"
WhatsApp Image 2026-06-16 at 5.13.46 PM (1).jpeg,KOFCLEAR LS KID COUGH DROP (15 ML).jpeg,MATCHED,,"LS KID DROPS, Levosalb0.25+Ambroxol7.5+Guaiph12.5, 15ml, MRP64.65"
WhatsApp Image 2026-06-16 at 5.13.31 PM (1).jpeg,LACTUDOS ORAL SOLUTION (100ML).jpeg,MATCHED,,"Lactulose 10g/15ml, 100ml, MRP131.25"
WhatsApp Image 2026-06-16 at 5.13.19 PM (2).jpeg,LCM SUSPENSION (60ML).jpeg,MATCHED,,"Suspension, Montelukast4+Levocetirizine2.5, 60ml"
WhatsApp Image 2026-06-16 at 5.13.33 PM (1).jpeg,LCM TABLETS (10'S).jpeg,MATCHED,,"Tablets, Montelukast10+Levocetirizine5, 10's, MRP154.65"
WhatsApp Image 2026-06-16 at 5.13.36 PM (2).jpeg,LIVOERB - DS SYRUP (225ML).jpeg,MATCHED,,"DS Syrup liver tonic, 225ml, MRP206.25"
WhatsApp Image 2026-06-16 at 5.13.37 PM (1).jpeg,LIVOERB SF SURUP (200ML).jpeg,MATCHED,,"SF Syrup sugar free liver tonic, 200ml, MRP160"
WhatsApp Image 2026-06-16 at 5.13.37 PM.jpeg,LIVOERB SYRUP (225ML).jpeg,MATCHED,,"plain Syrup liver tonic, 225ml, MRP165"
WhatsApp Image 2026-06-16 at 5.13.38 PM.jpeg,LIVOERB ZYME SYRUP (225ML).jpeg,MATCHED,,"ZYME Syrup liver tonic+enzymes, 225ml, MRP226.85"
WhatsApp Image 2026-06-16 at 5.13.18 PM (1).jpeg,LOVOLKEM 500 TABLET (5'S).jpeg,MATCHED,,"500, Levofloxacin 500mg, 5's, MRP48.04"
WhatsApp Image 2026-06-16 at 5.13.30 PM (2).jpeg,MEGANERV FORTE CAPSULES (10'S).jpeg,MATCHED,,"FORTE, Methylcob1500+ALA100+Pyridox3+Folic1.5, 10's, MRP230"
WhatsApp Image 2026-06-16 at 5.13.30 PM.jpeg,MEGANERV INJECTION (1ML AMPOULE).jpeg,MATCHED,,"plain Injection, Methylcobalamin 500mcg/1ml, 1ml, MRP70.30"
WhatsApp Image 2026-06-16 at 5.13.30 PM (1).jpeg,MEGANERV PLUS INJECTION (2ML).jpeg,MATCHED,,"PLUS Injection, Methylcob1000+Pyridox100+Nicotin100, 2ml, MRP103.10"
WhatsApp Image 2026-06-16 at 5.13.25 PM.jpeg,MEGANERV PNT TABLETS (10'S).jpeg,MATCHED,,"PNT, Pregabalin75+Nortriptyline10+Methylcobalamin1500, 10's, MRP255"
WhatsApp Image 2026-06-16 at 5.13.29 PM (1).jpeg,MEGANOR-200 TABLET (YELLOW PVC)10'S.jpeg,MATCHED,,"200, Ofloxacin 200mg, 10's, MRP94"
WhatsApp Image 2026-06-16 at 5.13.21 PM.jpeg,METRON OF SUSPENSION (60ML).jpeg,MATCHED,,"OF, Ofloxacin50+Metronidazole100, 60ml, MRP100"
WhatsApp Image 2026-06-16 at 5.13.28 PM (1).jpeg,MINOXIKEM 5% SOLUTION (60ML).jpeg,MATCHED,,"plain, Minoxidil 5% only, 60ml, MRP561.65"
WhatsApp Image 2026-06-16 at 5.13.22 PM (1).jpeg,MINOXIKEM-F SOLUTION (60ML).jpeg,MATCHED,,"F, Minoxidil5%+Finasteride0.1%, 60ml, MRP969.35"
WhatsApp Image 2026-06-16 at 5.13.52 PM.jpeg,MOXATE CV DRY SYRUP (WITH WFI) 30ML.jpeg,MATCHED,,"CV Dry Syrup, Amox200+Clav28.5, 30ml, MRP64.41"
WhatsApp Image 2026-06-16 at 5.13.52 PM (1).jpeg,MOXATE CV DS DRY SYRUP (WITH WFI) 30ML.jpeg,MATCHED,,"CV DS Dry Syrup, Amox400+Clav57, 30ml, MRP182.80"
WhatsApp Image 2026-06-16 at 5.13.27 PM (1).jpeg,MUSLIGRA CAPSULES (10'S).jpeg,MATCHED,,"ayurvedic power capsules men, 10's"
WhatsApp Image 2026-06-16 at 5.13.16 PM (2).jpeg,NEW OROGARD MOUTH WASH RED (100ML).jpeg,MATCHED*,FLAG: plain vs RED both 100ml/126.55; assigned RED by pink-red liquid,"NEW mouthwash, Chlorhexidine+NaF+Triclosan, 100ml, fresh mint, MRP126.58"
WhatsApp Image 2026-06-16 at 5.13.35 PM (2).jpeg,NIMCETA GOLD NF TABLETS (10'S).jpeg,MATCHED,,"GOLD NF, Paracetamol325+Nimesulide100, 10's, MRP56"
WhatsApp Image 2026-06-16 at 5.13.20 PM (1).jpeg,NOZUKA AF DROPS (15ML).jpeg,MATCHED,,"AF Drops, Phenylephrine2.5+Chlorpheniramine1, 15ml, MRP56.25"
WhatsApp Image 2026-06-16 at 5.13.14 PM.jpeg,NOZUKA COLD & FLU TABLETS (10'S).jpeg,MATCHED,,"Cold & Flu, Para500+Phenyl5+Caff30+Diphen25 tab"
WhatsApp Image 2026-06-16 at 5.13.27 PM.jpeg,NOZUKA NASAL SPRAY (20ML).jpeg,MATCHED,,"Nasal Spray, NaCl 0.65%, 20ml, MRP70.30"
WhatsApp Image 2026-06-16 at 5.13.38 PM (2).jpeg,OMEE FIZZ TABLETS (2'S).jpeg,MATCHED,,"Effervescent, sugar free, orange, 2's, MRP22.50"
WhatsApp Image 2026-06-16 at 5.13.32 PM.jpeg,OMEE MPS LIQUID (MINT FLAVOUR) 200ML.jpeg,MATCHED,,"200ml, MINT, MRP120"
WhatsApp Image 2026-06-16 at 5.13.31 PM (2).jpeg,OMEE MPS LIQUID (ORANGE FLAVOUR) 200ML.jpeg,MATCHED,,"AlOH+MgOH+Simethicone, 200ml, ORANGE, MRP120"
WhatsApp Image 2026-06-16 at 5.13.32 PM (1).jpeg,OMEE MPS LIQUID (SAUNF FLAVOUR) 200ML.jpeg,MATCHED,,"200ml, SAUNF, MRP120"
WhatsApp Image 2026-06-16 at 5.13.24 PM.jpeg,OMEE-G POWDER (COLA FLAVOUR) (5GM).jpeg,MATCHED,,"Cola, 5g sachet, MRP561 box"
WhatsApp Image 2026-06-16 at 5.13.24 PM (1).jpeg,OMEE-G POWDER (GUAVA FLAVOUR) (5GM).jpeg,MATCHED,,"Guava, 5g sachet, MRP561 box"
WhatsApp Image 2026-06-16 at 5.13.21 PM (1).jpeg,OMEE-G POWDER (JEERA FLAVOUR) (5GM).jpeg,MATCHED,,"Jeera, 5g sachet, ayurvedic, MRP9.35/sachet, 300g box"
WhatsApp Image 2026-06-16 at 5.13.43 PM.jpeg,OROGARD DENTAL GEL (10 GM).jpeg,MATCHED,,"DENTAL GEL, Benzocaine 20%, 10g, MRP65.60"
WhatsApp Image 2026-06-16 at 5.13.39 PM (1).jpeg,OROGARD INSTA MOUTH ULCER GEL (10G).jpeg,MATCHED,,"INSTA gel, Choline Sal+Lignocaine+Benzalkonium, 10g, MRP76.85"
WhatsApp Image 2026-06-16 at 5.13.44 PM.jpeg,OROGARD MOUTH ULCER TABLET (10'S).jpeg,MATCHED,,"Mouth Ulcer Tablet, Riboflavin+FolicAcid+Niacin+LacticBacillus, 10's, MRP72.15"
WhatsApp Image 2026-06-16 at 5.13.40 PM.jpeg,OROGARD MOUTHPAINT (15ML).jpeg,MATCHED,,"Mouth Paint, Clotrimazole 1%, 15ml, MRP52.80"
WhatsApp Image 2026-06-16 at 5.13.46 PM.jpeg,OROGARD SG OINTMENT (10GM).jpeg,MATCHED,,"SG, ayurvedic mouth ulcer gel, 10g"
WhatsApp Image 2026-06-16 at 5.13.47 PM (1).jpeg,ORS INSTA LIQUID (APPLE) (200ML).jpeg,MATCHED,,"INSTA, Apple flavour, 200ml"
WhatsApp Image 2026-06-16 at 5.13.47 PM.jpeg,ORS INSTA LIQUID (ORANGE) (200ML).jpeg,MATCHED,,"INSTA, Orange flavour, 200ml"
WhatsApp Image 2026-06-16 at 5.13.17 PM.jpeg,P40 DSR CAPS 10'S.jpeg,MATCHED*,FLAG: plain vs MONOCARTON both 10's; assigned plain,"DSR, Pantoprazole40+Domperidone30, 10's, MRP164.05"
WhatsApp Image 2026-06-16 at 5.13.18 PM.jpeg,P40 TABLETS (15'S).jpeg,MATCHED,,"plain, Pantoprazole 40mg, Alu-Alu 15's, MRP154.65"
WhatsApp Image 2026-06-16 at 5.13.12 PM.jpeg,PAMAGIN DS SUSPENSION (60ML).jpeg,MATCHED,,"DS susp, Paracetamol 250/5ml, 60ml, strawberry, MRP42.78"
WhatsApp Image 2026-06-16 at 5.13.13 PM.jpeg,PLAYGARD 100 TABLETS (4'S).jpeg,MATCHED,,"100, Sildenafil 100mg, 4 tab, MRP230"
WhatsApp Image 2026-06-16 at 5.13.12 PM (1).jpeg,PLAYGARD MORE TIME TABLETS (4'S).jpeg,MATCHED,,"MORE TIME, Dapoxetine30+Sildenafil50, 4 tab, MRP168.75"
WhatsApp Image 2026-06-16 at 5.13.22 PM.jpeg,POVIKEM SOLUTION (2000ML).jpeg,MATCHED,,"Povidone-Iodine 5% solution, 2000ml"
WhatsApp Image 2026-06-16 at 5.13.39 PM.jpeg,PREGAKEM CARD 1'S (MONOCARTON).jpeg,MATCHED,,"Rapid Pregnancy Detection Kit, MRP65"
WhatsApp Image 2026-06-16 at 5.13.16 PM.jpeg,PROTICHEM LIQUID (225ML).jpeg,MATCHED,,"Liquid, Protein Hydrolysate multivit, 225ml, MRP164.05"
WhatsApp Image 2026-06-16 at 5.13.13 PM (1).jpeg,PROVIDIP OINMENT (15GM).jpeg,MATCHED,,"Povidone-Iodine 5% ointment, 15g"
WhatsApp Image 2026-06-16 at 5.13.15 PM.jpeg,PROVIDIP OINTMENT (20GM).jpeg,MATCHED,,"Povidone-Iodine 5% ointment, 20g, MRP48"
WhatsApp Image 2026-06-16 at 5.13.36 PM.jpeg,PYRICOOL 650MG TABLETS (20'S) (OVAL).jpeg,MATCHED,,"650, Paracetamol 650mg, 20's blister, MRP42.84"
WhatsApp Image 2026-06-16 at 5.13.18 PM (2).jpeg,PYRICOOL-500MG TABLETS (15'S).jpeg,MATCHED,,"500, Paracetamol 500mg, 15's, MRP14.36"
WhatsApp Image 2026-06-16 at 5.13.42 PM (1).jpeg,PYRICOOL-650MG TABLETS (10'S).jpeg,MATCHED,,"650, Paracetamol 650mg, 10's blister, MRP21.35"
WhatsApp Image 2026-06-16 at 5.13.11 PM (2).jpeg,RAFILON TABLET (30'S).jpeg,MATCHED,,"Ranitidine 150mg tab, 30's strip, MRP50.60"
WhatsApp Image 2026-06-16 at 5.13.28 PM.jpeg,RAPTADOM -DSR  CAP (10'S).jpeg,MATCHED,,"DSR, Rabeprazole20+Domperidone30, 10's, MRP135.90"
WhatsApp Image 2026-06-16 at 5.13.42 PM.jpeg,SPASMOKEM SUSPENSION (60ML).jpeg,MATCHED,,"Suspension, Dicyclomine10+Simethicone40, 60ml, MRP92.80"
WhatsApp Image 2026-06-16 at 5.13.25 PM (2).jpeg,SPASMOKEM-G NF TABLETS (10'S).jpeg,MATCHED,,"G-NF, Dicyclomine20+Paracetamol325, 10's, MRP24"
WhatsApp Image 2026-06-16 at 5.13.26 PM.jpeg,SPASMOKEM-NF TABLETS (10'S).jpeg,MATCHED,,"NF, Dicyclomine20+Paracetamol325, 10's, MRP22"
WhatsApp Image 2026-06-16 at 5.13.15 PM (1).jpeg,SUMO HOT GEL (30 GM).jpeg,MATCHED,,"HOT Gel, Diclofenac+Linseed+MethylSal+Menthol+Capsaicin, 30g, MRP139.20"
WhatsApp Image 2026-06-16 at 5.13.14 PM (1).jpeg,SUMO PAIN OIL (50 ML).jpeg,MATCHED,,"Pain Oil, 50ml, MRP135.90, ayurvedic"
WhatsApp Image 2026-06-16 at 5.13.41 PM.jpeg,SUMOGESIC MR TABLETS (10'S).jpeg,MATCHED,,"MR, Aceclofenac100+Para325+Chlorzoxazone250, Alu-Alu 10's, MRP110"
WhatsApp Image 2026-06-16 at 5.13.45 PM (1).jpeg,THROX SUSPENSION (30ML).jpeg,MATCHED,,"Suspension, Roxithromycin, 30ml, MRP80"
WhatsApp Image 2026-06-16 at 5.13.40 PM (2).jpeg,THROX TABLETS 150MG (10'S).jpeg,MATCHED,,"150, Roxithromycin 150mg tab, 10's"
WhatsApp Image 2026-06-16 at 5.13.51 PM.jpeg,ULTIVIT SUSPENSION (200ML).jpeg,MATCHED,,"Suspension multivit+antioxidant, 200ml, MRP137.50"
WhatsApp Image 2026-06-16 at 5.13.13 PM (2).jpeg,UNOCEF-O TABLETS (10'S).jpeg,MATCHED,,"O, Cefixime DT 200mg, 10's, MRP111.39"
WhatsApp Image 2026-06-16 at 5.13.45 PM.jpeg,UNOCEF-OF TABLETS (10'S).jpeg,MATCHED,,"OF, Cefixime200+Ofloxacin200, 10's, MRP180"
WhatsApp Image 2026-06-16 at 5.13.50 PM.jpeg,ZEDONAC AQ INJECTION (1ML).jpeg,MATCHED,,"AQ, Diclofenac 75mg/ml inj, 1ml, MRP23.40"
WhatsApp Image 2026-06-16 at 5.13.49 PM.jpeg,ZITHROKEM 250 TABLETS (6'S).jpeg,MATCHED,,"250, Azithromycin 250mg, 6's, MRP74.78"
WhatsApp Image 2026-06-16 at 5.13.20 PM (2).jpeg,ZITHROKEM 500 TABLETS (3'S).jpeg,MATCHED,,"500, Azithromycin 500mg, 3's, MRP75.53"
WhatsApp Image 2026-06-16 at 5.13.33 PM.jpeg,ZITHROKEM-XL 100 SUSPENSION (30ML).jpeg,MATCHED,,"XL susp 100, Azithromycin 100/5ml, 30ml, MRP78.25"
WhatsApp Image 2026-06-16 at 5.13.34 PM (1).jpeg,ZITHROKEM-XL 200 SUSPENSION (30ML).jpeg,MATCHED,,"XL susp 200, Azithromycin 200/5ml, 30ml, MRP109.23"
WhatsApp Image 2026-06-16 at 5.13.48 PM (1).jpeg,ZUKACOLD DS SUSPENSION (60 ML).jpeg,MATCHED,,"DS, Para250+Phenyl5+Chlor2 susp, 60ml, MRP76.85"
WhatsApp Image 2026-06-16 at 5.13.15 PM (2).jpeg,,UNMATCHED,"UNMATCHED: PLAYGARD LIDO SPRAY (Lignocaine 9.5%, 15g) has no entry in master","LIDO SPRAY FOR MEN, Lignocaine 9.5%, 15g, MRP187.50"
